评分,原路径,文件名,扩展名,大小,修改时间,建议夸克路径,是否建议进自蒸馏OS,原因,备注
S,/mnt/d/paper/thesis/定稿/,D-机械系博士学位论文-李奇.pdf,pdf,94M,2026-06-04,博士毕业数据总仓库_202606/01_毕业论文与学位材料/博士论文定稿/,是,博士论文最终定稿,D盘主版本
S,/mnt/d/paper/thesis/定稿/,定稿v2.pdf,pdf,94M,2026-06-04,博士毕业数据总仓库_202606/01_毕业论文与学位材料/博士论文定稿/,是,博士论文定稿V2,
S,/mnt/d/paper/thesis/定稿/,定稿v1.pdf,pdf,93M,2026-06-02,博士毕业数据总仓库_202606/01_毕业论文与学位材料/博士论文定稿/,是,博士论文定稿V1,
S,/mnt/d/paper/thesis/,LQ_<学号_redacted>_thesis.pdf,pdf,94M,2026-06-04,博士毕业数据总仓库_202606/01_毕业论文与学位材料/博士论文定稿/,是,博士论文主PDF,
S,/mnt/k/2_work/win_download/,D-机械系博士学位论文-李奇.pdf,pdf,98M,2026-06-04,博士毕业数据总仓库_202606/01_毕业论文与学位材料/学位论文终稿/,是,K盘版本学位论文,
S,/mnt/k/2_work/win_download/,博士学位论文电子版 (1).pdf,pdf,98M,2026-06-05,博士毕业数据总仓库_202606/01_毕业论文与学位材料/学位论文终稿/,是,学位论文电子版提交版,
S,/mnt/k/2_work/win_download/,博士学位论文电子版.pdf,pdf,54M,2026-06-05,博士毕业数据总仓库_202606/01_毕业论文与学位材料/学位论文终稿/,是,学位论文电子版(压缩),
S,/mnt/d/paper/thesis/0_送审版本/,<学号_redacted>_thesis_盲审2.pdf,pdf,93M,2026-04-02,博士毕业数据总仓库_202606/01_毕业论文与学位材料/博士论文送审版/,是,论文盲审版,
S,/mnt/d/paper/thesis/0_送审版本/,thesis.pdf,pdf,96M,2026-04-02,博士毕业数据总仓库_202606/01_毕业论文与学位材料/博士论文送审版/,是,论文送审版,
S,/mnt/k/申请答辩/,毕业答辩V5.pptx,pptx,57M,2026-06-02,博士毕业数据总仓库_202606/01_毕业论文与学位材料/答辩PPT/,是,答辩PPT V5最终版,
S,/mnt/k/申请答辩/,毕业答辩V4.2.pptx,pptx,70M,2026-06-01,博士毕业数据总仓库_202606/01_毕业论文与学位材料/答辩PPT/,是,答辩PPT V4.2,
S,/mnt/k/申请答辩/,毕业答辩V4.3.pptx,pptx,65M,2026-06-01,博士毕业数据总仓库_202606/01_毕业论文与学位材料/答辩PPT/,是,答辩PPT V4.3,
