src_path,type,risk_level,action,encrypt_required,notes
"/mnt/c/Users/Administrator/.ssh/id_rsa",SSH私钥,高,单独存储绝不上传,否,RSA Windows主版本
"/home/richie_thu/.ssh/id_rsa",SSH私钥,高,单独存储绝不上传,否,RSA WSL版本
"/home/richie_thu/.ssh/id_ed25519",SSH私钥,高,单独存储绝不上传,否,Ed25519 WSL
"/mnt/c/Users/Administrator/.ssh/Lq2511.pem",PEM证书,高,单独存储绝不上传,否,Lq2511云服务器
"/mnt/k/5_other/Download/Lq2511.pem",PEM证书,高,不上传重复,否,Lq2511副本
"/mnt/k/5_other/Download/Lq2511 (1).pem",PEM证书,高,不上传重复,否,Lq2511第二副本
"/mnt/k/5_other/Download/LightsailDefaultKey-us-west-2.pem",PEM证书,高,单独存储绝不上传,否,AWS Lightsail
"/home/richie_thu/.netrc",API Token,高,绝不上传,否,W&B Token
"/mnt/k/2_work/LQQL_OS/.codex/.env",env,高,LQQL_OS上传时排除,否,Codex/OpenAI API Key
"/mnt/k/2_work/LQQL_OS/lqql_06_工作与项目/03_论文流水线/P02_agent_langraph/.env",env,高,项目上传时排除,否,项目级密钥
"/mnt/k/5_other/Download/a_feishu/PHMGA-NVTA_2025_Version/PHMGA-NVTA_2025_Version/.env",env,中,人工确认后处理,否,第三方模板可能含示例token
"/mnt/c/Users/Administrator/.antigravity_cockpit/credentials.json",API Token,高,绝不上传,否,Antigravity OAuth
"/mnt/c/Users/Administrator/.streamlit/credentials.toml",API Token,中,绝不上传,否,Streamlit Cloud
"/mnt/c/Users/Administrator/.modelscope/credentials/session",API Token,中,绝不上传,否,ModelScope Session
"/mnt/c/Users/Administrator/.codex/auth.json",API Token,高,绝不上传,否,Codex OAuth refresh token
"/home/richie_thu/Richie1/deep-symbolic-optimization/dso/dso/baselines/eureqa/credentials.json",API Token,低,排查后排除,否,Eureqa废弃项目
"/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博科研_Richie/998 电池/AIR服务器转移/SR/deep-symbolic-optimization/dso/dso/baselines/eureqa/credentials.json",API Token,低,与C9同源可忽略,否,Eureqa OneDrive副本
"/home/richie_thu/.docker/.token_seed",Docker凭证,中,绝不上传,否,Docker Hub种子
"/home/richie_thu/.docker/config.json",Docker凭证,低,可上传空{},否,内容为空
"/home/richie_thu/.docker/scan/config.json",Docker凭证,中,绝不上传,否,Docker Snyk
"/home/richie_thu/.local/share/jupyter/notebook_secret",Jupyter Secret,中,绝不上传,否,Notebook密钥
"/home/richie_thu/.local/share/jupyter/runtime/notebook_cookie_secret",Jupyter Secret,中,绝不上传,否,Cookie密钥
"/mnt/c/Users/Administrator/.codex/.sandbox-secrets/sandbox_users.json",Codex凭证,高,绝不上传,否,沙箱用户映射
"/mnt/c/Users/Administrator/.openclaw/identity/device-auth.json",设备认证,中,绝不上传,否,OpenClaw设备身份
"/mnt/c/Users/Administrator/.docker/scan/config.json",Docker凭证,中,绝不上传,否,Windows Docker Snyk
"/mnt/c/Users/Administrator/.docker/devenvironments/data.json",Docker凭证,低,可上传空{},否,内容为空
"/mnt/c/Users/Administrator/.qclaw/openclaw.json",QQCLAW,中,绝不上传,否,QQCLAW配置
"/mnt/c/Users/Administrator/.chatgpt/chat.conf.json",API Token,中,绝不上传,否,2023 ChatGPT CLI
"/home/richie_thu/.pki/nssdb/key4.db",NSS密钥库,中,仅本地保留,是,NSS主密码
