资产ID,评分,资产域,原路径,文件名,扩展名,大小_MB,修改时间,是否存在,是否重复,重复组ID,推荐主版本,版本判断依据,建议夸克路径,是否进入OS,敏感等级,是否需要加密,建议动作,排除理由,备注
A0001,S,01_thesis,/mnt/d/paper/thesis/定稿/D-机械系博士学位论文-李奇.pdf,D-机械系博士学位论文-李奇.pdf,pdf,,,是,,,,,博士毕业数据总仓库_202606/01_毕业论文与学位材料/01_thesis/,是,否,否,上传,,核心定稿资产
A0002,S,01_thesis,/mnt/d/paper/thesis/LQ_<学号_redacted>_thesis.pdf,LQ_<学号_redacted>_thesis.pdf,pdf,,,是,,,,,博士毕业数据总仓库_202606/01_毕业论文与学位材料/01_thesis/,是,否,否,上传,,核心定稿资产
A0003,S,01_thesis,/mnt/k/申请答辩/毕业答辩V5.pptx,毕业答辩V5.pptx,pptx,,,是,,,,,博士毕业数据总仓库_202606/01_毕业论文与学位材料/01_thesis/,是,否,否,上传,,核心定稿资产
A0004,S,07_media,/mnt/k/3.18/PPT.MOV,PPT.MOV,MOV,,,是,,,,,博士毕业数据总仓库_202606/07_media/,否,否,否,上传,,核心定稿资产
A0005,S,01_thesis,/mnt/k/2_work/win_download/答辩后学位论文修改说明_签字版.docx,答辩后学位论文修改说明_签字版.docx,docx,,,是,,,,,博士毕业数据总仓库_202606/01_毕业论文与学位材料/01_thesis/,是,是,是,上传,,核心定稿资产
A0006,S,05_personal,/mnt/d/paper/thesis/LQ/李奇_简历2025_10_21.pdf,李奇_简历2025_10_21.pdf,pdf,,,是,,,,,博士毕业数据总仓库_202606/05_personal/,是,否,否,上传,,核心定稿资产
A0007,S,02_papers,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博科研_Richie/10.project/1_DSN/7_FD会议TII/1、重投/TII_TON_final.pdf,TII_TON_final.pdf,pdf,,,是,,,,,博士毕业数据总仓库_202606/02_papers/,是,否,否,上传,,核心定稿资产
A0008,S,02_papers,/mnt/k/2_work/win_download/6-5审稿/11-tii2/TII-26-5183_Proof_hi.pdf,TII-26-5183_Proof_hi.pdf,pdf,,,是,,,,,博士毕业数据总仓库_202606/02_papers/,是,否,否,上传,,核心定稿资产
A0009,S,02_papers,/mnt/k/2_work/win_download/TII-26-1770_Proof_hi.pdf,TII-26-1770_Proof_hi.pdf,pdf,,,是,,,,,博士毕业数据总仓库_202606/02_papers/,是,否,否,上传,,核心定稿资产
A0010,A,06_os,/mnt/k/2_work/LQQL_OS/.agents/skills/.gitkeep,.gitkeep,gitkeep,,,是,,,,,博士毕业数据总仓库_202606/06_os/,是,否,否,上传,,核心定稿资产
A0011,A,05_personal,/home/richie_thu/Richie1/homepage/index.html,index.html,html,,,是,,,,,博士毕业数据总仓库_202606/05_personal/,是,否,否,上传,,核心定稿资产
A0012,A,03_code,/mnt/d/paper/paper_25_9_vibench/.claude/Doc/vibench_main.md,vibench_main.md,md,,,是,,,,,博士毕业数据总仓库_202606/03_code/,否,否,否,上传,,核心定稿资产
A0013,A,06_os,/mnt/k/2_work/LQQL_OS/lqql_06_工作与项目/03_论文流水线/P03_nesy_phm_review/paper/main.tex,main.tex,tex,,,是,,,,,博士毕业数据总仓库_202606/06_os/,是,否,否,上传,,核心定稿资产
A0014,S,02_papers,/mnt/c/Users/Administrator/Zotero/zotero.sqlite,zotero.sqlite,sqlite,,,是,,,,,博士毕业数据总仓库_202606/02_papers/,是,否,否,上传,,核心定稿资产
A0015,S,05_personal,/mnt/k/博士后/进站材料/进站材料清单.docx,进站材料清单.docx,docx,,,是,,,,,博士毕业数据总仓库_202606/05_personal/,是,否,否,上传,,核心定稿资产
A0016,S,05_personal,/mnt/k/申请答辩/优秀毕业生申请_李奇6.pptx,优秀毕业生申请_李奇6.pptx,pptx,,,是,,,,,博士毕业数据总仓库_202606/05_personal/,是,否,否,上传,,核心定稿资产
A0017,C,05_personal,/mnt/k/2_work/7_RL/alphagen-master/tmp/export/SZ000965.csv,SZ000965.csv,csv,1.29,2023-10-09,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0018,C,05_personal,/mnt/k/2_work/7_RL/alphagen-master/tmp/export/SH600887.csv,SH600887.csv,csv,1.64,2023-10-09,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0019,A,07_media,/mnt/k/1_life/9_feishu/22-724-7/2022年09月25日22时10分至2022年09月25日22时35分李奇的视频会议/2022年09月25日22时10分至2022年09月25日22时35分李奇的视频会议.mp4,2022年09月25日22时10分至2022年09月25日22时35分李奇的视频会议.mp4,mp4,303.86,2024-07-03,是,,,,,博士毕业数据总仓库_202606/07_media/,是,否,否,上传,,
A0020,C,05_personal,/mnt/k/2_work/win_download/rudder_final_integrated_latex_report_package/rudder_integrated_engineering_report_package/figures/fig_5_6_psd_state4.png,fig_5_6_psd_state4.png,png,0.22,2026-05-06,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0021,C,02_papers,/mnt/k/2_work/7_12Moe/IFfigs/1_paperfig/figs/素材/case2 feature/case2_feature.pdf,case2_feature.pdf,pdf,2.87,2024-04-04,是,,,,,博士毕业数据总仓库_202606/02_papers/,否,否,否,可忽略,,
