评分,原路径,目录名,总大小,文件数量,建议夸克路径,建议处理方式,原因,备注
S,/mnt/d/paper/thesis/,thesis,5.4G,500+,博士毕业数据总仓库_202606/01_毕业论文与学位材料/,完整上传,博士论文完整项目(源码+图片+版本历史+送审),
S,/mnt/d/paper/thesis/定稿/,定稿,280M,3,博士毕业数据总仓库_202606/01_毕业论文与学位材料/博士论文定稿/,完整上传,博士论文定稿(3版PDF),
S,/mnt/d/paper/thesis/0_送审版本/,0_送审版本,233M,3,博士毕业数据总仓库_202606/01_毕业论文与学位材料/博士论文送审版/,完整上传,盲审/送审版本,
S,/mnt/d/paper/thesis/backups/,backups,1.4G,30+,博士毕业数据总仓库_202606/01_毕业论文与学位材料/版本历史/,完整上传,博士论文全部版本历史,
S,/mnt/d/paper/thesis/LQ/小论文正式版/,小论文正式版,20M,4,博士毕业数据总仓库_202606/01_毕业论文与学位材料/发表小论文/,完整上传,4篇已发表论文PDF,
S,/mnt/d/paper/thesis/LQ/小论文tex版/,小论文tex版,80M,100+,博士毕业数据总仓库_202606/01_毕业论文与学位材料/发表小论文源码/,完整上传,小论文LaTeX源码,
S,/mnt/k/申请答辩/,申请答辩,570M,20+,博士毕业数据总仓库_202606/01_毕业论文与学位材料/答辩PPT/,完整上传,答辩PPT全部版本+优秀毕业生申请,
S,/mnt/k/博士后/,博士后,22M,20+,博士毕业数据总仓库_202606/05_个人行政与证明/博后进站/,完整上传,博后进站材料(自动化系+医学院),
S,/mnt/d/paper/thesis/_reviewer_pro/,_reviewer_pro,10M,20+,博士毕业数据总仓库_202606/01_毕业论文与学位材料/审稿与修改记录/,完整上传,审稿意见修改v1-v5,
A,/mnt/d/paper/paper_25_9_vibench/,paper_25_9_vibench,180M,100+,博士毕业数据总仓库_202606/02_科研项目与代码/vibench论文项目/,完整上传,ViBench论文完整项目(含Claude Agent配置),
A,/mnt/d/code/,code,735M,200+,博士毕业数据总仓库_202606/02_科研项目与代码/D_drive_code/,完整上传,科研代码目录,
A,/mnt/d/科研数据/,科研数据,398M,50+,博士毕业数据总仓库_202606/03_实验数据与结果/D_drive科研数据/,完整上传,DSR实验结果/技术报告,
A,/mnt/k/D01_vibench/,D01_vibench,89G,22,博士毕业数据总仓库_202606/03_实验数据与结果/vibench/,完整上传(排除cache.h5),PHM振动基准核心数据集(16个HDF5),
A,/mnt/k/yale_data/,yale_data,2.3G,100+,博士毕业数据总仓库_202606/03_实验数据与结果/yale/,完整上传,Yale访学数据(轴承/齿轮/语言/预测性维护),
A,/mnt/k/2_work/7_11ICASSP/,7_11ICASSP,15G,500+,博士毕业数据总仓库_202606/02_科研项目与代码/ICASSP/,上传代码+论文(排除.conda),ICASSP论文项目,
A,/mnt/k/2_work/7_12Moe/,7_12Moe,12G,300+,博士毕业数据总仓库_202606/02_科研项目与代码/MoE/,上传代码+数据(排除backupall),MoE混合专家实验,
A,/mnt/k/2_work/7_13logic/,7_13logic,5.3G,200+,博士毕业数据总仓库_202606/02_科研项目与代码/logic_NSNet/,上传代码(排除.conda),神经符号逻辑推理,
A,/mnt/k/2_work/liki/,liki,17G,500+,博士毕业数据总仓库_202606/02_科研项目与代码/liki/,完整上传,个人科研代码库(ADG1/JADA/SNDA/CCNN),
A,/mnt/k/2_work/TII_TON_archives/,TII_TON_archives,1.3G,100+,博士毕业数据总仓库_202606/02_科研项目与代码/TII_TON/,完整上传,TII/TON期刊论文归档,
A,/mnt/k/2_work/LQQL_OS/,LQQL_OS,9.2G,500+,博士毕业数据总仓库_202606/02_科研项目与代码/LQQL_OS/,上传(排除.codex/.env),个人知识管理系统,
A,/mnt/k/2_work/2_实验过程性/,2_实验过程性,41G,1000+,博士毕业数据总仓库_202606/03_实验数据与结果/实验过程/,选择性上传核心结果,实验过程数据与结果,
A,/mnt/k/2_work/3_dataset/,3_dataset,9.3G,100+,博士毕业数据总仓库_202606/03_实验数据与结果/datasets/,上传(排除DIRG.zip重复),实验数据集,
A,/mnt/c/Users/Administrator/Zotero/,Zotero,1.6G,3000+,博士毕业数据总仓库_202606/02_科研项目与代码/Zotero/,完整上传,文献管理数据库(2977条目),
A,/mnt/d/drive/OneDrive.../zotero_files/,zotero_files,~10G,4000+,博士毕业数据总仓库_202606/02_科研项目与代码/zotero文献/,完整上传,Zotero PDF文献存储,
A,/home/richie_thu/_Richie_project/,_Richie_project,21G,5000+,博士毕业数据总仓库_202606/02_科研项目与代码/WSL_Richie_project/,上传代码+模型(排除中间结果),WSL核心科研项目,
A,/home/richie_thu/_Richie_project/U-PHM/,U-PHM,8.0G,500+,博士毕业数据总仓库_202606/02_科研项目与代码/U-PHM/,上传代码+关键ckpt,PHM预训练模型项目,
A,/home/richie_thu/_Richie_project/Deep symbolic net/,Deep symbolic net,8.4G,1000+,博士毕业数据总仓库_202606/02_科研项目与代码/Deep_symbolic_net/,上传代码+论文图(排除npy中间文件),深度符号网络项目,
B,/mnt/d/drive/OneDrive.../_博学习_Richie/,_博学习_Richie,7.0G,500+,博士毕业数据总仓库_202606/99_各来源原始备份/D_drive/博学习/,完整上传,博士课程资料,
B,/mnt/d/drive/OneDrive.../_博工作_Richie/,_博工作_Richie,~2G,300+,博士毕业数据总仓库_202606/99_各来源原始备份/D_drive/博工作/,完整上传,博士工作材料,
B,/mnt/d/drive/OneDrive.../_博生活_Richie/,_博生活_Richie,~3G,500+,博士毕业数据总仓库_202606/99_各来源原始备份/D_drive/博生活/,完整上传,生活照片+硕士资料,
B,/mnt/d/MailMasterData/,MailMasterData,1.8G,100+,博士毕业数据总仓库_202606/99_各来源原始备份/D_drive/MailMasterData/,完整上传,9个邮箱数据库,
B,/mnt/k/mails/,mails,1.6G,10932,博士毕业数据总仓库_202606/99_各来源原始备份/K_drive/邮件/,完整上传,2015-2026邮件归档,
B,/mnt/k/2_work/7_RL/,7_RL,23G,500+,博士毕业数据总仓库_202606/02_科研项目与代码/RL/,上传代码(排除.conda),强化学习实验,
B,/mnt/k/2_work/9_past/,9_past,30G,500+,博士毕业数据总仓库_202606/02_科研项目与代码/历史项目/,上传代码(排除.conda),过去项目归档,
B,/home/richie_thu/Richie1/,Richie1,3.6G,500+,博士毕业数据总仓库_202606/99_各来源原始备份/WSL_home/Richie1/,上传(排除demo.log/.venv),早期项目/学习代码,
B,/home/richie_thu/project_report/,project_report,1.5M,12,博士毕业数据总仓库_202606/02_科研项目与代码/project_report/,完整上传,项目清点报告,
